Category: All categories

Week,COVID-19 vaccine: (New Zealand)
2020-01-26,8
2020-02-02,6
2020-02-09,4
2020-02-16,4
2020-02-23,11
2020-03-01,10
2020-03-08,15
2020-03-15,33
2020-03-22,26
2020-03-29,29
2020-04-05,13
2020-04-12,12
2020-04-19,16
2020-04-26,11
2020-05-03,12
2020-05-10,11
2020-05-17,14
2020-05-24,10
2020-05-31,7
2020-06-07,11
2020-06-14,13
2020-06-21,12
2020-06-28,20
2020-07-05,11
2020-07-12,21
2020-07-19,20
2020-07-26,19
2020-08-02,17
2020-08-09,32
2020-08-16,28
2020-08-23,19
2020-08-30,21
2020-09-06,12
2020-09-13,11
2020-09-20,9
2020-09-27,11
2020-10-04,11
2020-10-11,12
2020-10-18,12
2020-10-25,15
2020-11-01,4
2020-11-08,42
2020-11-15,28
2020-11-22,21
2020-11-29,20
2020-12-06,37
2020-12-13,49
2020-12-20,31
2020-12-27,32
2021-01-03,35
2021-01-10,37
2021-01-17,36
2021-01-24,39
2021-01-31,53
2021-02-07,38
2021-02-14,91
2021-02-21,72
2021-02-28,75
2021-03-07,88
2021-03-14,49
2021-03-21,100
2021-03-28,57
2021-04-04,63
2021-04-11,99
2021-04-18,77
